Episode,Score,Avg_Score,Actor_LR,Critic_LR,Noise_Sigma
1,0.0,0.0,0.001,0.0005,0.396
2,0.0,0.0,0.001,0.0005,0.39204
3,0.0,0.0,0.001,0.0005,0.3881196
4,0.09000000171363354,0.022500000428408384,0.001,0.0005,0.384238404
5,0.0,0.018000000342726707,0.001,0.0005,0.38039601996
6,0.0,0.015000000285605589,0.001,0.0005,0.3765920597604
7,0.0,0.012857143101947648,0.001,0.0005,0.372826139162796
8,0.0,0.011250000214204192,0.001,0.0005,0.36909787777116804
9,0.0,0.010000000190403726,0.001,0.0005,0.36540689899345635
10,0.0,0.009000000171363353,0.001,0.0005,0.36175283000352176
11,0.0,0.008181818337603048,0.001,0.0005,0.35813530170348656
12,0.0,0.0075000001428027945,0.001,0.0005,0.3545539486864517
13,0.0,0.006923077054894888,0.001,0.0005,0.35100840919958715
14,0.0,0.006428571550973824,0.001,0.0005,0.34749832510759127
15,0.0,0.006000000114242236,0.001,0.0005,0.34402334185651534
16,0.0,0.005625000107102096,0.001,0.0005,0.3405831084379502
17,0.0,0.005294117747860796,0.001,0.0005,0.33717727735357067
18,0.0,0.005000000095201863,0.001,0.0005,0.33380550458003494
19,0.0,0.004736842195454396,0.001,0.0005,0.33046744953423457
20,0.0,0.004500000085681677,0.001,0.0005,0.32716277503889224
21,0.0,0.004285714367315883,0.001,0.0005,0.3238911472885033
22,0.0,0.004090909168801524,0.001,0.0005,0.3206522358156183
23,0.0,0.003913043552766676,0.001,0.0005,0.31744571345746214
24,0.0,0.0037500000714013972,0.001,0.0005,0.3142712563228875
25,0.0,0.0036000000685453416,0.001,0.0005,0.3111285437596586
26,0.0,0.003461538527447444,0.001,0.0005,0.308017258322062
27,0.0,0.003333333396801242,0.001,0.0005,0.3049370857388414
28,0.0,0.003214285775486912,0.001,0.0005,0.30188771488145294
29,0.0,0.0031034483349528805,0.001,0.0005,0.2988688377326384
30,0.0,0.003000000057121118,0.001,0.0005,0.295880149355312
31,0.0,0.002903225861730114,0.001,0.0005,0.2929213478617589
32,0.0,0.002812500053551048,0.001,0.0005,0.2899921343831413
33,0.0,0.0027272727792010164,0.001,0.0005,0.2870922130393099
34,0.0,0.002647058873930398,0.001,0.0005,0.2842212909089168
35,0.0,0.00257142862038953,0.001,0.0005,0.28137907799982764
36,0.0,0.0025000000476009315,0.001,0.0005,0.27856528721982937
37,0.0,0.0024324324787468525,0.001,0.0005,0.2757796343476311
38,0.0,0.002368421097727198,0.001,0.0005,0.27302183800415475
39,0.0,0.0023076923516316293,0.001,0.0005,0.2702916196241132
40,0.0,0.0022500000428408383,0.001,0.0005,0.26758870342787205
41,0.0,0.002195121993015452,0.001,0.0005,0.2649128163935933
42,0.0,0.0021428571836579415,0.001,0.0005,0.2622636882296574
43,0.0,0.002093023295665896,0.001,0.0005,0.2596410513473608
44,0.0,0.002045454584400762,0.001,0.0005,0.25704464083388723
45,0.0,0.002000000038080745,0.001,0.0005,0.25447419442554836
46,0.0,0.001956521776383338,0.001,0.0005,0.2519294524812929
47,0.0,0.0019148936534815646,0.001,0.0005,0.24941015795647997
48,0.0,0.0018750000357006986,0.001,0.0005,0.24691605637691516
49,0.0,0.001836734728849664,0.001,0.0005,0.24444689581314602
50,0.0,0.0018000000342726708,0.001,0.0005,0.24200242685501455
51,0.0,0.0017647059159535989,0.001,0.0005,0.2395824025864644
52,0.0,0.001730769263723722,0.001,0.0005,0.23718657856059977
53,0.0,0.0016981132398798781,0.001,0.0005,0.23481471277499377
54,0.0,0.001666666698400621,0.001,0.0005,0.23246656564724383
55,0.0,0.0016363636675206098,0.001,0.0005,0.2301418999907714
56,0.0,0.001607142887743456,0.001,0.0005,0.22784048099086368
57,0.0,0.0015789473984847988,0.001,0.0005,0.22556207618095503
58,0.0,0.0015517241674764403,0.001,0.0005,0.22330645541914548
59,0.0,0.0015254237578581956,0.001,0.0005,0.22107339086495403
60,0.0,0.001500000028560559,0.001,0.0005,0.2188626569563045
61,0.0,0.0014754098641579269,0.001,0.0005,0.21667403038674146
62,0.0,0.001451612930865057,0.001,0.0005,0.21450729008287406
63,0.0,0.001428571455771961,0.001,0.0005,0.21236221718204532
64,0.0,0.001406250026775524,0.001,0.0005,0.21023859501022485
65,0.0,0.0013846154109789775,0.001,0.0005,0.2081362090601226
66,0.0,0.0013636363896005082,0.001,0.0005,0.20605484696952137
67,0.0,0.0013432836076661722,0.001,0.0005,0.20399429849982614
68,0.0,0.001323529436965199,0.001,0.0005,0.20195435551482788
69,0.0,0.0013043478509222252,0.001,0.0005,0.1999348119596796
70,0.0,0.001285714310194765,0.001,0.0005,0.19793546384008281
71,0.0,0.0012676056579385005,0.001,0.0005,0.195956109201682
72,0.0,0.0012500000238004657,0.001,0.0005,0.19399654810966518
73,0.0,0.0012328767358031991,0.001,0.0005,0.19205658262856853
74,0.0,0.0012162162393734262,0.001,0.0005,0.19013601680228284
75,0.0,0.0012000000228484472,0.001,0.0005,0.18823465663426
76,0.0,0.001184210548863599,0.001,0.0005,0.18635231006791741
77,0.0,0.0011688311910861499,0.001,0.0005,0.18448878696723825
78,0.0,0.0011538461758158146,0.001,0.0005,0.18264389909756587
79,0.0,0.0011392405280206777,0.001,0.0005,0.18081746010659022
80,0.0,0.0011250000214204192,0.001,0.0005,0.1790092855055243
81,0.0,0.0011111111322670807,0.001,0.0005,0.17721919265046907
