Episode,Score,Avg_Score,Actor_LR,Critic_LR,Noise_Sigma,Critic_Loss,Actor_Loss
1,0.0,0.0,0.001,0.001,0.5,0.0,0.0
2,0.0,0.0,0.001,0.001,0.5,0.0,0.0
3,0.0,0.0,0.001,0.001,0.5,0.0,0.0
4,0.09000000171363354,0.022500000428408384,0.001,0.001,0.5,0.00047729791403980924,0.018854220071807502
5,0.0,0.018000000342726707,0.001,0.001,0.5,7.900378283617707e-05,0.02232775886853536
6,0.0,0.015000000285605589,0.001,0.001,0.5,3.5761668186751194e-05,0.02148222510835954
7,0.0,0.012857143101947648,0.001,0.001,0.5,0.8880885564722121,0.04512309168265866
8,0.0,0.011250000214204192,0.001,0.001,0.5,0.5087544595922476,0.036107646118450375
9,0.0,0.010000000190403726,0.001,0.001,0.5,0.8296022755759103,0.0647127216548792
10,0.0,0.009000000171363353,0.001,0.001,0.4975,0.7339622728526592,0.055098474274079004
11,0.0,0.008181818337603048,0.001,0.001,0.4975,0.39043781427400454,0.05958757256822927
12,0.0,0.0075000001428027945,0.001,0.001,0.4975,0.5566048712602684,0.04624686150678566
13,0.0,0.006923077054894888,0.001,0.001,0.4975,0.3362821800900357,0.08675307514412063
14,0.0,0.006428571550973824,0.001,0.001,0.4975,0.22948568354227714,0.05593511249337878
15,0.0,0.006000000114242236,0.001,0.001,0.4975,0.2825842137138049,0.06442089105645815
16,0.0,0.005625000107102096,0.001,0.001,0.4975,0.3233601003885269,0.044591248780488965
17,0.0,0.005294117747860796,0.001,0.001,0.4975,0.30966747432414976,0.05668283746178661
18,0.0,0.005000000095201863,0.001,0.001,0.4975,0.5228425839117595,0.04637238649385316
19,0.0,0.004736842195454396,0.001,0.001,0.4975,0.5974715638107487,0.03198309921260391
20,0.0,0.004500000085681677,0.001,0.001,0.4950125,0.8871420699038676,0.12912584521940776
21,0.0,0.004285714367315883,0.001,0.001,0.4950125,0.6162225971619288,0.22687768538792927
22,0.0,0.004090909168801524,0.001,0.001,0.4950125,0.6922216287681034,0.25287830723183496
23,0.0,0.003913043552766676,0.001,0.001,0.4950125,0.5775505038244384,0.2076151126197406
24,0.0,0.0037500000714013972,0.001,0.001,0.4950125,0.47458154282399584,0.19218395969697408
25,0.0,0.0036000000685453416,0.001,0.001,0.4950125,0.510742785675185,0.09574120944099766
26,0.0,0.003461538527447444,0.001,0.001,0.4950125,0.43444012930350645,0.10539187171629497
27,0.0,0.003333333396801242,0.001,0.001,0.4950125,0.36804880148598124,0.05589275660791567
28,0.0,0.003214285775486912,0.001,0.001,0.4950125,0.4903684830559151,0.07332183181175164
29,0.0,0.0031034483349528805,0.001,0.001,0.4950125,0.6560425619993892,0.17923173946993692
30,0.0,0.003000000057121118,0.001,0.001,0.4925374375,0.4743212640285492,0.22320614953835805
31,0.0,0.002903225861730114,0.001,0.001,0.4925374375,0.5317699081663575,0.22126073177371705
32,0.0,0.002812500053551048,0.001,0.001,0.4925374375,0.3786423783749342,0.03674703364127448
33,0.0,0.0027272727792010164,0.001,0.001,0.4925374375,0.36103654918926104,0.10452864372304507
34,0.10000000149011612,0.005588235388345578,0.001,0.001,0.4925374375,0.596332062035799,0.14218994446339145
35,0.0,0.005428571520107133,0.001,0.001,0.4925374375,1.3283460587263107,0.1560049094259739
36,0.0,0.0052777778667708235,0.001,0.001,0.4925374375,1.275520656790052,0.1600182923887457
37,0.0,0.005135135221722964,0.001,0.001,0.4925374375,0.814383499856506,0.14585485522236144
38,0.0,0.005000000084309201,0.001,0.001,0.4925374375,0.8285272717475891,0.18736655371529715
39,0.0,0.004871794953942299,0.001,0.001,0.4925374375,1.436576636042446,0.16520470194518566
40,0.0,0.004750000080093741,0.001,0.001,0.49007475031250003,1.5977837507213866,0.12407974632722991
41,0.0,0.00463414641960365,0.001,0.001,0.49007475031250003,0.8076014710324151,0.1011209110064166
42,0.10000000149011612,0.006904762016520614,0.001,0.001,0.49007475031250003,1.1262733936309814,0.11551967108001311
43,0.0,0.006744186155671297,0.001,0.001,0.49007475031250003,1.4475547868226255,0.04000351444951126
44,0.09000000171363354,0.00863636378198862,0.001,0.001,0.49007475031250003,0.8040840953588486,0.1048796849946181
45,0.09000000171363354,0.010444444624914064,0.001,0.001,0.49007475031250003,0.6722457616900405,0.11814279730121295
46,0.0,0.010217391480894192,0.001,0.001,0.49007475031250003,1.9281337817332573,0.051321452882673056
47,0.0,0.01000000017279006,0.001,0.001,0.49007475031250003,0.15149290242698044,0.09784678206779063
48,0.0,0.009791666835856935,0.001,0.001,0.49007475031250003,0.4099263872152993,0.09595498282994543
